area_type,availability,location,size,hall_present,bath,balcony,total_sqft,price
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3,1,2,1,1600,108
Super built-up  Area,Ready To Move,Billekahalli,3,1,3,2,1935,110
Super built-up  Area,18-May,8th Phase JP Nagar,1,1,1,0,451,29.9
Super built-up  Area,Ready To Move,Electronic City,3,1,3,2,1800,95
Super built-up  Area,18-May,Jalahalli,3,1,3,0,1400,77
Super built-up  Area,Ready To Move,Hegde Nagar,3,1,3,2,1801,115
Built-up  Area,Ready To Move,Mahadevpura,2,1,2,2,1451,90
Plot  Area,19-Jan,Anekal,2,1,1,1,1200,36
Super built-up  Area,Ready To Move,Begur Road,2,1,2,2,1160,44
Built-up  Area,Ready To Move,Kengeri,2,1,2,1,1000,25
Super built-up  Area,Ready To Move,Kanakpura Road,2,1,2,1,950,40
Built-up  Area,20-Dec,"Hoodi Circle, ",3,1,3,2,1629,79
Built-up  Area,Ready To Move,Vijayanagar,3,1,2,0,1580,134
Super built-up  Area,21-Jun,Vijayanagar,3,1,3,2,1826,121
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,1,2,1,1245,94
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,2,1145,45.79
Super built-up  Area,Ready To Move,Sompura,2,1,2,1,825,33
Super built-up  Area,18-Aug,Yeshwanthpur,3,1,3,3,1693,108
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,1,2,2,1113.27,53
Built-up  Area,Ready To Move,Ashirvad Colony,2,1,2,1,1460,58
Built-up  Area,Ready To Move,Doddathoguru,2,1,2,1,1050,32
Built-up  Area,Ready To Move,Dodda Nekkundi,2,1,2,2,1260,55
Super built-up  Area,Ready To Move,K N Extension,6,1,3,2,700,120
Built-up  Area,Ready To Move,Hosur Road,2,1,2,1,1656,120
Super built-up  Area,Ready To Move,Chandapura,3,1,3,1,1208,45
Super built-up  Area,Ready To Move,Whitefield,3,1,3,2,1910,161
Super built-up  Area,Ready To Move,Whitefield,4,1,4,1,3252,230
Plot  Area,Ready To Move,Battarahalli,2,1,2,1,1200,65
Super built-up  Area,Ready To Move,Gokula Extension,4,1,4,1,1200,175
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1,2,1,1175,82
Plot  Area,Ready To Move,Kamakshipalya,2,1,2,0,1000,165
Plot  Area,Ready To Move,Bannerghatta Road,4,1,2,0,1200,125
Super built-up  Area,Ready To Move,Rajaji Nagar,3,1,3,2,2390,410
Super built-up  Area,19-Jan,Rajaji Nagar,7,1,6,3,12000,2200
Plot  Area,Ready To Move,Sultan Palaya,2,1,1,1,550,62
Super built-up  Area,Ready To Move,Kengeri,1,1,1,0,370.92,18.5
Super built-up  Area,Ready To Move,Sanne Amanikere,2,1,2,2,1185,38
Super built-up  Area,Ready To Move,Kengeri,2,1,2,1,750,38
Plot  Area,Ready To Move,Mahalakshmi Layout,6,1,7,3,1200,250
Super built-up  Area,Ready To Move,Kanakpura Road,3,1,3,3,1550,64.5
Built-up  Area,Ready To Move,Amco Colony,3,1,3,2,1760,88
Super built-up  Area,Ready To Move,Billekahalli,2,1,2,2,1125,62
Plot  Area,Ready To Move,Nagarbhavi,3,1,3,2,1350,150
Plot  Area,17-Dec,Anandapura,2,1,2,1,1000,55
Built-up  Area,18-Aug,Bommasandra Industrial Area,2,1,2,2,1090,31.48
Plot  Area,Ready To Move,TC Palaya,2,1,2,0,1200,60
Super built-up  Area,Ready To Move,Budigere,3,1,4,2,1991,103
Super built-up  Area,18-Oct,Bommasandra,2,1,2,1,1060,26.5
Super built-up  Area,Ready To Move,Ambalipura,2,1,2,1,1105,75
Built-up  Area,Ready To Move,Hoodi,2,1,2,2,985,67
Plot  Area,Ready To Move,Chandapura,6,1,5,3,1533,85
Super built-up  Area,17-Jul,Balagere,3,1,3,2,1590,79
Super built-up  Area,Ready To Move,CV Raman Nagar,2,1,2,2,1120,55
Super built-up  Area,Ready To Move,Samethanahalli,2,1,2,1,1069,55
Super built-up  Area,Ready To Move,Marathahalli,3,1,3,2,1933,140
Built-up  Area,16-Mar,Hosur Road,2,1,2,0,1194,69
Super built-up  Area,Ready To Move,Brookefield,2,1,2,3,1150,69
Super built-up  Area,Ready To Move,Yelenahalli,2,1,2,2,1240,47.12
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,2,1419,48.1
Plot  Area,Ready To Move,7th Phase JP Nagar,8,1,8,2,1200,250
Super built-up  Area,Ready To Move,Richmond Town,3,1,4,2,2150,240
Super built-up  Area,Ready To Move,Suddaguntepalya,3,1,3,2,1450,55
Super built-up  Area,18-Jul,Udayapur Village,3,1,3,2,1630,68.29
Super built-up  Area,Ready To Move,Dasanapura,2,1,1,1,708,40
Plot  Area,Ready To Move,Kasavanhalli,3,1,4,3,1000,110
Plot  Area,Ready To Move,Whitefield,4,1,4,3,11890,700
Super built-up  Area,Ready To Move,Bellandur,2,1,2,1,1250,76
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1,2,1,1400,95
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1,2,3,1670,57
Super built-up  Area,Ready To Move,Ardendale,3,1,3,2,1750,100
Super built-up  Area,Ready To Move,Vittasandra,2,1,2,1,1404,71
Super built-up  Area,Ready To Move,Hoodi,3,1,2,2,1715,95
Built-up  Area,18-Apr,Electronic City,1,1,1,1,630,34.65
Super built-up  Area,Ready To Move,Harlur,3,1,3,2,1752.12,135
Super built-up  Area,Ready To Move,Hulimavu,3,1,3,2,1650,78
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,1,1295,55.47
Plot  Area,Ready To Move,Giri Nagar,3,1,3,2,1800,252
Super built-up  Area,18-Sep,Sarjapur  Road,2,1,2,1,1346,74.03
Plot  Area,Ready To Move,Thippasandra,4,1,4,2,1200,200
Super built-up  Area,Ready To Move,Hormavu,2,1,2,2,1150,55
Built-up  Area,Ready To Move,Chikkabidarakallu,4,1,4,3,3309,325
Super built-up  Area,18-May,Chandapura,3,1,2,2,1190,30.35
Super built-up  Area,Ready To Move,AECS Layout,3,1,3,2,1620,98
Super built-up  Area,18-Apr,Marathahalli,2,1,2,1,950,46.96
Super built-up  Area,Ready To Move,1 Giri Nagar,11,1,9,3,5000,360
Super built-up  Area,Ready To Move,Harlur,3,1,3,0,2450,120
Super built-up  Area,18-May,Electronic City Phase II,3,1,2,1,1220,35.23
Super built-up  Area,Ready To Move,Hoysalanagar,2,1,2,1,850,30
Built-up  Area,Ready To Move,Padmanabhanagar,2,1,2,2,1020,63
Built-up  Area,Ready To Move,Chikkalasandra,2,1,2,2,1100,50
Super built-up  Area,Ready To Move,Defence Colony,2,1,2,2,1150,126
Super built-up  Area,18-Dec,Hebbal,3,1,2,2,1760,130
Super built-up  Area,Ready To Move,Ambalipura,3,1,3,3,1800,110
Super built-up  Area,Ready To Move,Akshaya Nagar,2,1,2,1,1070,54
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4,1,4,2,1500,220
Plot  Area,Ready To Move,Vidyaranyapura,2,1,2,0,1440,95
Super built-up  Area,Ready To Move,Amruthahalli,2,1,2,1,900,40
Built-up  Area,Ready To Move,ITI Employees Layout,4,1,4,1,1200,230
Super built-up  Area,18-May,Whitefield,2,1,2,1,1130,42.16
Super built-up  Area,Ready To Move,Koramangala,2,1,2,1,1320,165
Super built-up  Area,19-Jun,Kodigehalli,2,1,2,1,1270,98
Built-up  Area,Ready To Move,Patelappa Layout,2,1,2,1,1200,62
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4,1,4,2,4800,235
Super built-up  Area,Ready To Move,NS Palya,2,1,2,1,1200,74
Super built-up  Area,Ready To Move,Subramanyapura,2,1,2,0,929,50.17
Built-up  Area,Ready To Move,RMV 2nd Stage,4,1,4,2,1150,260
Plot  Area,Ready To Move,Basavangudi,4,1,4,3,1125,180
Plot  Area,Ready To Move,Kenchenahalli,5,1,3,2,500,65
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5,1,5,2,1200,190
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3,1,3,2,1464,56
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4,1,4,3,3600,400
Plot  Area,Ready To Move,Bank Avenue,4,1,4,2,2000,99
Super built-up  Area,Ready To Move,Chikkalasandra,2,1,2,1,1208,49
Super built-up  Area,Ready To Move,Hebbal Kempapura,2,1,2,2,1130,60
Super built-up  Area,Ready To Move,Surabhi Layout,3,1,3,2,1753,120
Super built-up  Area,Ready To Move,Old Madras Road,5,1,7,3,4500,337
Plot  Area,Ready To Move,Banjara Layout,3,1,3,2,600,58
Super built-up  Area,22-Jun,Hoodi,2,1,2,2,1196,94.42
Built-up  Area,Ready To Move,5th Phase JP Nagar,2,1,3,3,1150,52.5
Super built-up  Area,18-Apr,Electronic City,2,1,2,1,1128,63
Super built-up  Area,Ready To Move,Omkar Nagar,2,1,2,1,1000,53
Super built-up  Area,Ready To Move,Yelahanka,2,1,2,1,1035,45
Built-up  Area,Ready To Move,Kereguddadahalli,2,1,2,1,950,32
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1,2,1,1075,36
Super built-up  Area,Ready To Move,Whitefield,2,1,2,1,1040,48.5
Plot  Area,17-Oct,Maragondanahalli,2,1,2,1,720,45
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,1,3,1,1511,95
Built-up  Area,Ready To Move,Silk Board,3,1,3,1,1300,58
Super built-up  Area,19-Dec,Hoodi,3,1,3,1,1545,68.75
Built-up  Area,Ready To Move,Shampura,1,1,2,0,375,26
Super built-up  Area,Ready To Move,Vidyaranyapura,2,1,2,3,1062,38
Super built-up  Area,Ready To Move,Kada Agrahara,2,1,2,1,1115,40
Super built-up  Area,Ready To Move,JP Nagar,2,1,2,1,1000,35
Super built-up  Area,17-May,Kambipura,2,1,2,1,883,45
Super built-up  Area,19-Apr,Sarjapur  Road,2,1,2,1,1195,70
Plot  Area,Ready To Move,BHEL Layout,4,1,3,1,1200,165
Built-up  Area,Ready To Move,Medahalli,1,1,1,0,700,41
Super built-up  Area,Ready To Move,Vittasandra,2,1,2,1,1246,67
Plot  Area,Ready To Move,8th Phase JP Nagar,4,1,4,2,660,90
Plot  Area,Ready To Move,Banashankari Stage III,4,1,4,2,8500,145
Super built-up  Area,Ready To Move,Kashi Nagar,4,1,4,1,1600,80
Super built-up  Area,18-Dec,Haralur Road,4,1,5,3,2805,154
Super built-up  Area,Ready To Move,Begur Road,3,1,3,2,1584,65
Plot  Area,Ready To Move,Sector 7 HSR Layout,4,1,5,1,3000,275
Built-up  Area,Ready To Move,Hosur Road,3,1,2,2,1175,48
Built-up  Area,19-Jul,"Yemlur, Old Airport Road, ",3,1,3,2,1595,115
Super built-up  Area,Ready To Move,VHBCS Layout,2,1,2,2,1353,110
Super built-up  Area,18-Apr,Electronic City,3,1,3,2,1599,125
Super built-up  Area,Ready To Move,Whitefield,2,1,2,1,1150,70
Super built-up  Area,17-Dec,Jakkur,4,1,6,1,5230,465
Super built-up  Area,Ready To Move,KR Puram,2,1,2,2,1155,42.74
Built-up  Area,Ready To Move,Ittamadu,1,1,2,0,1200,85
Super built-up  Area,18-Jul,Electronic City Phase II,2,1,2,1,1000,25
Super built-up  Area,Ready To Move,Thanisandra,4,1,4,2,3000,120
Built-up  Area,Ready To Move,Rajiv Nagar,3,1,3,1,1867,160
Super built-up  Area,18-Jun,Ramagondanahalli,2,1,2,1,1251,47
Super built-up  Area,18-Apr,Gattahalli,2,1,2,1,1028,45.5
Super built-up  Area,Ready To Move,Arekere,2,1,2,2,1222,45
Super built-up  Area,Ready To Move,Bannerghatta Road,3,1,2,1,1170,66
Super built-up  Area,Ready To Move,Hebbal,3,1,4,1,2400,245
Super built-up  Area,Ready To Move,Ramanjaneyanagar,3,1,2,2,1385,48.48
Super built-up  Area,Ready To Move,HSR Layout,2,1,2,1,1372,68
Super built-up  Area,Ready To Move,Magadi Road,3,1,2,2,1282,49
Super built-up  Area,Ready To Move,Mico Layout,9,1,9,3,5000,210
Built-up  Area,Ready To Move,7th Block Jayanagar,5,1,3,1,3000,528
Super built-up  Area,Ready To Move,Kanakpura Road,2,1,2,1,1135,39.73
Built-up  Area,20-Dec,Whitefield,3,1,3,2,1768,101
Built-up  Area,Ready To Move,Byatarayanapura,3,1,2,1,1325,90
Super built-up  Area,18-Apr,Electronic City,3,1,3,2,1599,99
Plot  Area,18-Mar,Whitefield,3,1,3,1,1500,61.95
Plot  Area,Ready To Move,2nd Phase JP Nagar,3,1,3,0,2610,499
Super built-up  Area,Ready To Move,Uttarahalli,2,1,2,2,1286,63
Built-up  Area,Ready To Move,Kammanahalli,5,1,5,1,2845,140
Super built-up  Area,Ready To Move,K G Colony,3,1,2,2,1600,50
Super built-up  Area,18-Sep,Hennur Road,2,1,2,0,1317.5,63.77
Super built-up  Area,Ready To Move,Hebbal,3,1,5,2,3450,260
Super built-up  Area,18-Apr,Munnekollal,2,1,2,2,1102,53.67
Super built-up  Area,Ready To Move,Yelahanka,2,1,2,2,1350,54
Super built-up  Area,Ready To Move,Banashankari,3,1,2,2,1200,42
Plot  Area,Ready To Move,Hosa Road,6,1,6,0,1300,145
Plot  Area,Ready To Move,Herohalli,2,1,1,1,1800,80
Built-up  Area,Ready To Move,Chikkabanavar,2,1,2,1,950,40
Super built-up  Area,21-Dec,Kanakpura Road,1,1,1,1,525,27.25
Built-up  Area,Ready To Move,Attibele,2,1,2,1,656,25
Plot  Area,Ready To Move,Marathahalli,4,1,4,3,1780,175
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2,1,2,1,1056,80
Super built-up  Area,21-Feb,Bannerghatta Road,1,1,1,1,595,33.32
Built-up  Area,Ready To Move,Ittamadu,2,1,2,2,1080,50
Super built-up  Area,19-Dec,7th Phase JP Nagar,3,1,3,1,2225,160
Super built-up  Area,18-Aug,Bommasandra,2,1,2,1,1126,28.15
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,1,3,1,1490,84
Plot  Area,Ready To Move,HRBR Layout,4,1,4,1,2000,300
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1,3,3,1550,100
Built-up  Area,Ready To Move,Ashwini layout,2,1,2,1,1160,55
Built-up  Area,Ready To Move,Whitefield,4,1,4,3,4144,315
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1,3,2,2100,125
Super built-up  Area,Ready To Move,Vittasandra,2,1,2,1,1404,69.3
Plot  Area,Ready To Move,Sarjapur  Road,4,1,4,3,2230,225
Super built-up  Area,Ready To Move,Marathalli bridge,3,1,3,2,1544,120
Super built-up  Area,18-May,Banashankari Stage III,3,1,2,1,1305,58.7
Super built-up  Area,Ready To Move,Marathahalli,2,1,2,2,1230,80
Plot  Area,Ready To Move,T.C PALYA,2,1,2,0,1200,65
Super built-up  Area,Ready To Move,Harlur,3,1,3,1,1460,73
Built-up  Area,Ready To Move,Gottigere,2,1,2,3,967,45
Built-up  Area,Ready To Move,Byatarayanapura,1,1,1,1,540,36
Super built-up  Area,19-Dec,Hormavu,1,1,1,2,715,46
Super built-up  Area,Ready To Move,Whitefield,3,1,3,2,2500,313
Super built-up  Area,Ready To Move,Dooravani Nagar,3,1,3,1,1578,180
Super built-up  Area,Ready To Move,Mysore Road,2,1,2,1,1020,48.95
Super built-up  Area,Ready To Move,Jigani,2,1,2,1,1020,40
Super built-up  Area,Ready To Move,Koramangala,2,1,2,1,1253,102
Super built-up  Area,Ready To Move,JCR Layout,2,1,2,2,1180,42
Super built-up  Area,Ready To Move,Nehru Nagar,2,1,2,2,961,38
Built-up  Area,Ready To Move,Kanakapura,3,1,3,3,1419,75
Super built-up  Area,Ready To Move,Harlur,3,1,3,2,1709,150
Plot  Area,Ready To Move,Papareddipalya,2,1,2,0,1600,115
Super built-up  Area,18-Jul,Venkatapura,1,1,1,1,416,18.5
Carpet  Area,Ready To Move,Sanjay nagar,2,1,2,2,1100,98
Super built-up  Area,Ready To Move,HSR Layout,3,1,2,1,1430,65
Super built-up  Area,Ready To Move,Sneha Colony,2,1,2,2,1260,45
Built-up  Area,Ready To Move,RMV Extension,3,1,3,2,1630,85
Super built-up  Area,19-May,Sarjapur  Road,3,1,3,2,1249,44.71
Super built-up  Area,Ready To Move,Kalena Agrahara,3,1,2,3,1450,85
Super built-up  Area,17-Nov,Konanakunte,3,1,3,1,2791,223
Super built-up  Area,Ready To Move,Hosapalya,1,1,1,0,600,90
Built-up  Area,Ready To Move,Ashwini layout,1,1,1,1,834,60
Plot  Area,Ready To Move,Doddagubbi,3,1,4,1,1125,70
Super built-up  Area,Ready To Move,Arekere,3,1,3,2,2060,140
Super built-up  Area,19-Jan,Malleshwaram,7,1,7,3,12000,2200
Built-up  Area,Ready To Move,Gottigere,2,1,2,1,891,25
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,1,1133,49.07
Built-up  Area,Ready To Move,Bisuvanahalli,3,1,2,1,1075,37
Super built-up  Area,18-May,Sector 6 HSR Layout,4,1,5,2,3000,260
Plot  Area,Ready To Move,Brookefield,4,1,5,2,2440,425
Built-up  Area,Ready To Move,Vidyaranyapura,2,1,2,2,1200,55
Super built-up  Area,Ready To Move,Thanisandra,2,1,2,2,1075,45.8
Super built-up  Area,Ready To Move,Kaggadasapura,2,1,2,2,1140,40
Plot  Area,Ready To Move,Margondanahalli,5,1,4,2,940,150
Plot  Area,Ready To Move,ITI Layout,6,1,5,1,2160,250
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,1,1090,42
Built-up  Area,Ready To Move,R.T. Nagar,4,1,4,1,1500,70
Super built-up  Area,Ready To Move,Whitefield,4,1,4,2,4104,360
Super built-up  Area,Ready To Move,Whitefield,3,1,3,2,1790,100
Super built-up  Area,18-Dec,Hebbal,3,1,3,2,1920,134
Built-up  Area,Ready To Move,HRBR Layout,2,1,2,2,1374,95
Carpet  Area,Ready To Move,Bannerghatta Road,3,1,3,2,1445,95
Super built-up  Area,19-Dec,Kanakapura,1,1,1,1,711,36
Super built-up  Area,Ready To Move,Tumkur Road,3,1,3,3,1500,95
Super built-up  Area,Ready To Move,Whitefield,3,1,3,3,1720,100
Super built-up  Area,Ready To Move,Vasanthapura,3,1,3,2,1400,60
Built-up  Area,Ready To Move,Kundalahalli,2,1,2,2,1030,49
Super built-up  Area,Ready To Move,Mysore Road,2,1,2,1,1200,85
Carpet  Area,18-Jul,Hosahalli,3,1,3,2,1375,70
Plot  Area,Ready To Move,Hegde Nagar,2,1,1,2,1050,56
Super built-up  Area,Ready To Move,Jalahalli,3,1,3,2,2250,160
Super built-up  Area,Ready To Move,Bellandur,2,1,2,2,1000,50
Super built-up  Area,Ready To Move,Jalahalli West,1,1,1,0,469,25
Super built-up  Area,Ready To Move,Marathahalli,4,1,4,3,3800,250
Super built-up  Area,Ready To Move,Kambipura,2,1,2,1,883,29
Super built-up  Area,Ready To Move,GM Palaya,3,1,2,3,1820,86
Built-up  Area,Ready To Move,Singasandra,3,1,2,3,1440,65
Super built-up  Area,Ready To Move,near Ramanashree California resort,6,1,4,1,3600,160
Built-up  Area,Ready To Move,Malleshwaram,4,1,5,2,2500,325
Super built-up  Area,18-Aug,Mahadevpura,2,1,2,2,1225,48
Plot  Area,Ready To Move,"6th block banashankari 3rd stage, 100 feet ORR",3,1,3,1,4000,660
Carpet  Area,Ready To Move,Chikkalasandra,2,1,2,3,875,52.8
Super built-up  Area,Ready To Move,Jalahalli East,1,1,1,2,750,40
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,1,2,3,1180,80
Super built-up  Area,Ready To Move,Haralur Road,2,1,2,2,1194,47
Super built-up  Area,Ready To Move,Hennur Road,3,1,2,2,1500,62
Super built-up  Area,Ready To Move,Poornapragna Housing Society Layout,2,1,2,2,1160,52.2
Built-up  Area,Ready To Move,Arekere,9,1,9,2,1123031.25,265
Super built-up  Area,Ready To Move,Hosakerehalli,3,1,3,1,2378,262
Super built-up  Area,Ready To Move,Sarjapur,2,1,2,1,1128,60
Super built-up  Area,Ready To Move,Hebbal,3,1,3,1,1500,150
Built-up  Area,18-Aug,Huskur,3,1,2,1,1220,35.23
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1,2,2,1210,58
Super built-up  Area,20-Oct,Kanakpura Road,3,1,2,1,1100,58
Super built-up  Area,Ready To Move,Bommasandra,3,1,3,2,1200,46
Built-up  Area,18-Mar,Haralur Road,4,1,5,2,3385,260
Super built-up  Area,Ready To Move,Nagondanahalli,3,1,3,2,1641,66
Super built-up  Area,Ready To Move,Horamavu Agara,2,1,2,1,1200,45
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,1,1260,67.39
Super built-up  Area,Ready To Move,Mahadevpura,3,1,3,3,1720,78
Super built-up  Area,Ready To Move,Yelahanka,2,1,2,0,1132.5,48.13
Super built-up  Area,Ready To Move,Yelahanka,2,1,2,1,1210,45.98
Built-up  Area,Ready To Move,Indira Nagar,4,1,4,2,2200,200
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1,2,1,1075,45
Built-up  Area,Ready To Move,Thanisandra,3,1,3,2,1702,130
Super built-up  Area,Ready To Move,Shanthala Nagar,2,1,2,2,1630,200
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,2,1141,38.55
Super built-up  Area,18-Apr,Shantiniketan Layout,3,1,3,2,2072,108
Super built-up  Area,18-Dec,JP Nagar,5,1,5,2,5520,375
Built-up  Area,Ready To Move,Herohalli,3,1,2,0,1200,70
Super built-up  Area,Ready To Move,Teachers Colony,3,1,3,0,1350,77
Built-up  Area,18-Mar,Bettahalsoor,4,1,4,0,4046,445
Super built-up  Area,18-Dec,Srinivasa Nagar,3,1,2,2,1180,78.34
Built-up  Area,Ready To Move,Yelahanka,3,1,3,3,35000,130
Super built-up  Area,Ready To Move,Langford Town,2,1,2,2,1355,115
Plot  Area,Ready To Move,Sulthangunta,1,1,1,0,600,50
Plot  Area,Ready To Move,Hormavu,7,1,7,2,1200,150
Super built-up  Area,Ready To Move,Bannerghatta Road,3,1,2,1,1640,120
Plot  Area,Ready To Move,Byrathi Village,5,1,5,0,1200,100
Super built-up  Area,Ready To Move,Kodichikkanahalli,3,1,2,2,1190,57
Plot  Area,Ready To Move,OMBR Layout,4,1,4,2,2400,375
Super built-up  Area,Ready To Move,Marathahalli,2,1,2,2,1019,49.85
Super built-up  Area,Ready To Move,Ambedkar Colony,3,1,3,2,1875,165
Super built-up  Area,18-May,Akshaya Nagar,3,1,3,2,1250,40
Plot  Area,Ready To Move,Brookefield,3,1,3,2,1200,140
Super built-up  Area,Ready To Move,Whitefield,2,1,2,1,1140,56
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,1,3,1,1683,109
Super built-up  Area,Ready To Move,Kaggadasapura,3,1,3,2,1515,83.3
Super built-up  Area,19-Dec,Hoodi,4,1,4,2,2118,111
Built-up  Area,Ready To Move,Bannerghatta Road,4,1,3,0,1380,58
Super built-up  Area,Ready To Move,Varthur Road,2,1,2,2,1083,61.75
Plot  Area,Ready To Move,Anjappa Layout,2,1,2,1,600,55
Built-up  Area,Ready To Move,Avalahalli,3,1,3,3,2300,120
Super built-up  Area,Ready To Move,Prakruthi Nagar,2,1,2,2,1240,60
Super built-up  Area,Ready To Move,Surabhi Layout,3,1,3,1,1750,120
Super built-up  Area,18-Apr,Sadaramangala,2,1,2,2,1230,43.48
Plot  Area,17-Aug,Anjanapura,3,1,3,1,1500,139
Super built-up  Area,Ready To Move,Abbigere,2,1,2,1,985,40.39
Plot  Area,Ready To Move,Tindlu,3,1,2,1,1500,87
Built-up  Area,18-Dec,Electronic City,2,1,2,1,1125,32.49
Built-up  Area,Ready To Move,Maruthi Sevanagar,2,1,2,1,950,44
Super built-up  Area,18-Dec,JP Nagar,5,1,5,2,5600,548.5
Super built-up  Area,Ready To Move,Kothanur,3,1,3,3,1580,76
Plot  Area,Ready To Move,B Narayanapura,3,1,2,1,1092,98.5
Built-up  Area,18-Jul,Electronic City Phase II,2,1,2,1,1090,28.34
Built-up  Area,19-Mar,Hennur Road,3,1,3,1,2264,159
Super built-up  Area,19-Aug,Dommasandra,3,1,2,2,1033,25.53
Super built-up  Area,18-Apr,Kammasandra,2,1,2,2,810,24.5
Super built-up  Area,Ready To Move,Green Garden Layout,2,1,2,0,1045,45
Super built-up  Area,18-Sep,Hebbal,2,1,2,1,1337,82
Super built-up  Area,Ready To Move,Chandapura,2,1,2,2,1200,32
Super built-up  Area,Ready To Move,Koramangala,3,1,3,2,1580,160
Super built-up  Area,Ready To Move,Begur Road,3,1,2,3,1500,54
Super built-up  Area,18-Sep,Whitefield,3,1,4,2,1640,91
Super built-up  Area,Ready To Move,Silver Springs Layout,3,1,3,2,1570,62
Super built-up  Area,Ready To Move,Gubbalala,3,1,2,2,1470,82
Super built-up  Area,Ready To Move,Kengeri,2,1,2,2,1160,40.61
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,1,2,1,1050,71
Super built-up  Area,20-Jun,Dairy Circle,3,1,3,1,1855,225
